,d_day,total_order_cnt,total_order_amt
0,20250119,8242.0,10673000.0
1,20250120,172705.0,803577840.0
2,20250121,275184.0,1225499340.0
3,20250122,309829.0,1228285890.0
4,20250123,401453.0,1512414410.0
5,20250124,459615.0,2097914390.0
6,20250125,4238.0,21998210.0
7,20250126,3198.0,18739500.0
8,20250127,4992.0,21767460.0
9,20250128,3289.0,32157320.0
10,20250129,1859.0,17983160.0
11,20250130,1573.0,20264270.0
12,20250131,434122.0,1772551690.0
13,20250201,3588.0,25214020.0
14,20250202,31499.0,87415640.0
15,20250203,642096.0,2482288510.0
16,20250204,719654.0,2825083430.0
17,20250205,650780.0,2756592540.0
18,20250206,637741.0,2576180295.0
19,20250207,623194.0,2654747420.0
20,20250208,5863.0,40469910.0
21,20250209,10907.0,46794020.0
22,20250210,688207.0,3245526310.0
23,20250211,590603.0,2629857360.0
24,20250212,1162083.0,3366343305.0
25,20250213,673491.0,2981448340.0
26,20250214,872976.0,2949432980.0
27,20250215,36192.0,119602340.0
28,20250216,26338.0,102894480.0
29,20250217,920517.0,3258382790.0
30,20250218,1596348.0,5003750310.0
31,20250219,1966926.0,6345180660.0
32,20250220,1922830.0,5978010090.0
33,20250221,1773265.0,5456185670.0
34,20250222,71656.0,292355700.0
35,20250223,62842.0,269693060.0
36,20250224,1433549.0,4644124160.0
37,20250225,1343602.0,4493399560.0
38,20250226,830570.0,3276240500.0
39,20250227,704587.0,2580040060.0
40,20250228,437372.0,1401948080.0
41,20250301,89596.0,279477120.0
42,20250302,81952.0,268895380.0
43,20250303,142961.0,403329680.0
44,20250304,233142.0,635259690.0
